,Id,Vistas,likes,Comentarios,C_id,Data,Título,C_data,C_Título,País,C_vistas,Subscriptores,No Videos,Titulo,Status,Categoria,Duracao,Data_tendencia
407,ykdG-fYvbIk,25346.0,2874.0,170.0,UC6ZImLwiIaVRYIGycqh5iLA,2022-09-16 09:42:32+00:00,,2009-07-28 00:01:10+00:00,MacMagazine,BR,22903821,140000.0,876,Unboxing de todas as cores dos iPhones 14 Pro [Max]!,1,Science & Technology,461.0,2022-09-17 00:00:00+00:00
408,eL2fGiJzr6Q,480859.0,10519.0,792.0,UCa6vGFO9ty8v5KZJXQxdhaw,2022-09-14 03:36:41+00:00,,2006-09-20 06:18:26+00:00,Jimmy Kimmel Live,US,12531501867,18800000.0,6147,"Andrew Garfield Saves Jimmy Kimmel at the Emmys, Trump’s Mysterious Trip &amp; the Justice Dept Says OK!",0,Comedy,998.0,
409,FOoMiQFn-H8,480400.0,48784.0,96.0,UCqWmLengIKFXRjuL1YyXNSg,2022-09-14 03:31:39+00:00,,2016-02-23 21:34:30+00:00,NOBRU,BR,236230368,13700000.0,376,CPN SEASON 8 🏆 GRUPO A x B,1,Gaming,15227.0,2022-09-15 00:00:00+00:00
410,mYCi6bK8sWE,113277.0,4953.0,909.0,UCCXoCcu9Rp7NPbTzIvogpZg,2022-08-30 07:00:28+00:00,Did the White House ask if this was constitutional?: Kevin Hassett,2008-02-04 12:35:54+00:00,Fox Business,US,1963113508,1950000.0,59187,,0,News & Politics,577.0,
411,CtnB_86uvXI,113312.0,9872.0,199.0,UCHkLdUqjUct7f4iskfqQzWQ,2022-08-27 11:01:00+00:00,CREATIVE SQUAD 3: Proteja sua Bandeira Antes que Seja Tarde!,2015-07-03 21:44:38+00:00,Onerb,BR,32944518,463000.0,342,,1,Gaming,629.0,2022-08-28 00:00:00+00:00
412,MS8S6cQ-gGI,240866.0,28163.0,143.0,UCs_oo94_oXKaKLL3On3TRmA,2022-09-14 19:45:11+00:00,,2019-10-29 15:45:38.847076+00:00,Jonas Felipe,BR,89358085,407000.0,1685,20 REAIS NO CONGELADOR? 🤔,0,Gaming,26.0,
413,0mqg6F2X2Ic,240939.0,5580.0,189.0,UC040XFJEsSRhTkmieXp1kDQ,2022-09-09 21:00:01+00:00,,2017-11-08 15:43:04+00:00,Família Maria Clara e JP,BR,1055129195,4950000.0,175,Abrindo meus presentes de aniversário - Festa Stranges Things da Maria Clara,1,People & Blogs,489.0,2022-09-11 00:00:00+00:00
414,55OluKiB7QY,106777.0,7098.0,280.0,UCu0vroGSTLJZNT1vnW10CFA,2022-09-09 22:00:05+00:00,,2014-08-26 18:09:16+00:00,Jonatan Santos,BR,764187307,3400000.0,2838,QUEBREI O CARRO DO FRENTISTA NO TRÂNSITO,0,,,
415,yq01EP_PECY,106787.0,19470.0,2419.0,UC92C2M8o4KUzvbwoDunBElg,2022-08-30 18:17:19+00:00,,2014-11-26 21:52:47+00:00,Léia Veloso,,20315578,132000.0,425,VLOG: NOSSO CASAMENTO NA IGREJA | DIFÍCIL NÃO SE EMOCIONAR | POR: LÉIA VELOSO,1,People & Blogs,2111.0,2022-09-01 00:00:00+00:00
416,HZUqnROcbrI,115973.0,3305.0,62.0,UCcL0z0is7-3b4aTphvp04cg,2022-09-06 02:03:35+00:00,,2018-08-19 02:22:37+00:00,Pantanal - Resumo da novela,BR,13014316,97700.0,102,NOVELA PANTANAL - José Lucas morre? Velho do Rio para Velório e desmascara Tenório - Capítulo hoje,0,Entertainment,891.0,
417,bfHsLhug4sc,115982.0,34197.0,1705.0,UCiIZY89KwQkxAW-4Le7U7zg,2022-08-20 16:05:02+00:00,A Farm Ancestral  | O Filme | - Minecraft Em busca da casa automática #340,2011-01-18 00:36:12+00:00,viniccius13,BR,863213597,5810000.0,502,,1,Gaming,2638.0,2022-08-22 00:00:00+00:00
418,iLTKpRQFxdw,58801.0,11577.0,274.0,UCYq2Sa1fTsXUK_ehKRvZ_ZQ,2022-08-24 18:45:17+00:00,LEITURA ZOPILAL #228 (COMBO) - FLA  5 x 0 ATH &amp; ATH 0 X 1 FLA - Brasileirão / Copa do Brasil 2022,2017-02-08 02:09:25+00:00,Zopilote,BR,107287477,963000.0,432,,0,Sports,950.0,
419,QATaE9uxU4M,58820.0,6676.0,830.0,UCHKbUAiKHsWCCZrkDY_PZ8Q,2022-09-01 22:42:06+00:00,,2009-03-04 15:05:23+00:00,Grêmio FBPA,BR,127501563,820000.0,5518,RENATO ESTÁ DE VOLTA!,1,Sports,34.0,2022-09-02 00:00:00+00:00
420,JFBoJmrPl6c,222164.0,29970.0,202.0,UCuUUWPHIioyfmctnDpwsFzw,2022-08-24 23:30:10+00:00,LOUD CORINGA - PODDELAS #190,2021-02-26 15:05:09.860468+00:00,POD DELAS,BR,127182003,1850000.0,192,,0,People & Blogs,8314.0,
421,bwGftC32wNw,222354.0,55703.0,2620.0,UCAI8SmRbXgSpP8Zo3xZbxzQ,2022-09-16 14:00:12+00:00,,2013-04-13 05:43:25+00:00,Hungria Hip Hop,BR,4032014608,12600000.0,45,Hungria Hip Hop - Temporal (Official Music Video),1,Music,307.0,2022-09-17 00:00:00+00:00
422,GsuQtNkCzDM,829011.0,11149.0,165.0,UCCzeJEYT1h9OANya3gKpe7Q,2022-09-16 21:00:11+00:00,,2021-07-05 17:20:05.503414+00:00,Alanzim Coreano,BR,2225902,5560.0,25,Alanzim Coreano - Pega o Guanabara (Clipe Oficial),0,People & Blogs,181.0,
423,TzAS_g9OuWs,829827.0,31113.0,2675.0,UC-2Y8dQb0S6DtpxNgAKoJKA,2022-08-23 18:25:18+00:00,DualSense Edge Wireless Controller Reveal Trailer | PS5,2005-12-16 09:01:28+00:00,PlayStation,US,4252031615,14300000.0,18004,,1,Gaming,37.0,2022-08-24 00:00:00+00:00
424,36GdcoYS4vk,295019.0,24410.0,284.0,UCP391YRAjSOdM_bwievgaZA,2022-09-06 23:10:01+00:00,,2011-12-01 12:01:43+00:00,Jovem Pan News,BR,2390473274,5580000.0,89706,POVO NAS RUAS NO 7 DE SETEMBRO/ PCC NA ELEIÇÃO/ SILVEIRA BARRADO - OS PINGOS NOS IS - 06/09/2022,0,News & Politics,7571.0,
425,gVADsAT8x1k,294837.0,22452.0,707.0,UCrcBZDofBltcgGxphNia2tw,2022-08-26 12:59:30+00:00,Celular da Vida Real X Minecraft,2021-08-30 14:50:24.766100+00:00,Problems,BR,1101682745,2640000.0,328,,1,Music,1818.0,2022-08-27 00:00:00+00:00
426,TXv7UoGk8ZI,1200638.0,23772.0,3905.0,UC9k-yiEpRHMNVOnOi_aQK8w,2022-09-06 21:47:16+00:00,,2012-10-09 00:36:32+00:00,Inside Edition,US,19585730281,11100000.0,27441,News Anchor Has Stroke Live on Air,0,News & Politics,122.0,
